c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
0.67393168913395640+0.87335554800704951j,0.26781250013227637+0.36500422843981434j,0.99099382908757361+0.44256928638480020j,0.65374109641089584+0.15516701489183846j,0.10018230998678875+0.48643050172673097j,0.51948873566302489+0.33634010869493142j,0.35385587349429154+0.38990521111615994j,0.64734189818802224+0.74463660563067913j,0.57999782697288915+0.68055535054169680j,0.46686037568521216+0.93192942497040943j,0.0039678059226197588+0.0093504841415170160j,0.73792921971715075+0.23327100594902156j,0.37293908684506116+0.12667105848297450j,0.13693849772204258+0.75176601898861506j,0.39099813589585941+0.82203822530491544j,0.10145473043604365+0.54486150635090924j,0.55890679848709868+0.80247140592432864j,0.40151277237040173+0.95395375047161457j,0.98162497600452914+0.23343020018263069j,0.45614794351746013+0.46218447493653669j
0.49353418450355696+0.52879499129372276j,0.90389247510156434+0.23874322012680241j,0.55707767901550997+0.74562787421902921j,0.20996349856578581+0.95622990619369685j,0.17002117049498425+0.96396750348491300j,0.093127635734085293+0.14114199532059440j,0.91469763114549907+0.57922705506640360j,0.85139892919403748+0.54372774307469640j,0.25098030098403085+0.76114732338931379j,0.94358110856469257+0.40144760074235702j,0.32710932605168375+0.90995789381974235j,0.46713278615208564+0.72349083260480207j,0.019723804051300167+0.37528323144608783j,0.42533436564422178+0.47974752671017207j,0.74342133206818717+0.0052465123338408422j,0.70935062891561551+0.71930442757013868j,0.39107360282971271+0.53356388926176745j,0.22308881206556599+0.86031755019304712j,0.31395473176899868+0.30689001459891441j,0.36871199139417971+0.62552330883661222j
0.47903218665986030+0.038492377974024022j,0.19917673660908908+0.98345489361959593j,0.11890953923915994+0.75745894964039673j,0.61326372117149353+0.46804803040999943j,0.59587263299579318+0.72046034607995590j,0.065252840307769899+0.086014501429736726j,0.57035972712588234+0.92212832131465117j,0.078913053827178309+0.68580007939273668j,0.26527854127282036+0.072401317373901444j,0.71016296295628356+0.24832330509437242j,0.44069948022228383+0.45438338938289607j,0.41790731135854481+0.031725417215684580j,0.12065400753896223+0.52954265522357236j,0.47312954730168427+0.40522400310451095j,0.29813462092608284+0.58105737175320926j,0.21239494162312203+0.35039170541953923j,0.26250023036846820+0.76748016208215175j,0.54410352429784703+0.17588882378793752j,0.14452012734683706+0.94512726940951020j,0.56333800586114080+0.065006897563853305j
0.82020764505381061+0.40594346379171714j,0.14439081366789458+0.85347874022353876j,0.0059120778471820944+0.42490486712982500j,0.078074179420389661+0.27146378954612693j,0.66870255108909404+0.49913997735217958j,0.93950932419779176+0.17669905210818102j,0.64683257042465991+0.64370144471275625j,0.83134778480257754+0.041760581801482136j,0.79845619055851025+0.85294780996654185j,0.62374003092660568+0.028468501949600197j,0.30947305602264052+0.60369610521670725j,0.90456786048052096+0.23048674994677898j,0.67456047438906386+0.93516252538599565j,0.68444842434400377+0.71023728482898607j,0.61440244746590289+0.019267356785817650j,0.72241537850597126+0.64556792605354962j,0.19142947312048841+0.61036240723021418j,0.40419283479283991+0.39474036663441425j,0.82806687354374708+0.82431767604639705j,0.36668435445435743+0.63119989058561066j
0.073360823204587047+0.27202183526095691j,0.27656144020507167+0.62236386626070639j,0.46401668546787289+0.94845355424031053j,0.25192590542775617+0.39892025893005556j,0.39618371411953773+0.15357784137787103j,0.25671844548595452+0.64385073433039230j,0.59125677694418632+0.20953010106927608j,0.20135155325517112+0.43565327908402629j,0.029730553984221517+0.069247837125354386j,0.079712940275482633+0.42775859840189995j,0.87647178140473447+0.69184344485713622j,0.68031941811886965+0.26350217377659102j,0.84393741317776794+0.66339898406942877j,0.63759252065576688+0.41924805130627124j,0.83144627030609608+0.22717022910223739j,0.41956087884617638+0.15361550452994052j,0.85329987273108465+0.30147066462086758j,0.57572497051983140+0.31373778854855833j,0.022222247854290052+0.93592726977253982j,0.84465418886188526+0.13612637043499429j
0.020647009720558177+0.024374545585287861j,0.11894478980000439+0.34975234127088800j,0.52299084814927532+0.53672452812156757j,0.30009884317796692+0.58592466069552751j,0.64979647297072107+0.73759624440953020j,0.99845216882807675+0.15114076475005800j,0.36735373559643791+0.91977421388998826j,0.46656851780522707+0.23361679113350167j,0.85484285217786149+0.86047181167644460j,0.96247053789440151+0.30427467537268349j,0.99934081777183581+0.79738464987729296j,0.56178861518950662+0.87039748438810116j,0.69384039285426513+0.68767457569592449j,0.41452447755009814+0.90353199411193630j,0.25346329787018673+0.42248547492142002j,0.42012235322520053+0.27352029143330808j,0.91316676401494579+0.80088295232273987j,0.21291962177407320+0.84280554886836001j,0.054980331879727527+0.21738258119556980j,0.96702245352645610+0.42507250845952022j
0.32732912144762183+0.98721880275457818j,0.92655838362754261+0.55839217987998058j,0.96540020781523250+0.76737436755877819j,0.13069086899455790+0.21002856867966588j,0.70025058161527687+0.063089539465778777j,0.12491883971639947+0.32429218039141683j,0.11906452994816216+0.95918625897300791j,0.49820570244802281+0.65796247912887851j,0.18802560911615190+0.31951401576338800j,0.72169377112014566+0.19541778537002899j,0.34315775901470708+0.059956539001458115j,0.67654746282218559+0.42381036282697648j,0.26854367499528975+0.23477586822395574j,0.94655094084182101+0.87325439007329730j,0.92357279383748936+0.63837814948621208j,0.78801521099232585+0.99105148307949853j,0.091833969953417333+0.71943050071205450j,0.38998766762621240+0.96091664800323129j,0.82047604850514821+0.44729528856468276j,0.68983997061680746+0.82800954830870410j
0.27825782245579816+0.86595831699969861j,0.36423135360687203+0.86820778474102633j,0.74151375658282359+0.52062913228453789j,0.42248408678506760+0.66312089206896396j,0.57272795014170619+0.15656974926052056j,0.47885736436716930+0.26336932433135407j,0.33752875434697732+0.38139623981838988j,0.47149539928748596+0.36857369603997214j,0.28630440139019531+0.086782133847699033j,0.77800537745023790+0.54315479200713102j,0.90098921842131752+0.21159226912322546j,0.41341620131413237+0.51875337962714718j,0.64628776485773609+0.62567397494906796j,0.42696606660825842+0.41887116087789034j,0.35545428293459702+0.37845562313158360j,0.63375623238704959+0.50935054025370330j,0.26711276439231996+0.42830013223248969j,0.34005191731472106+0.93786906251631041j,0.68478978015814362+0.48680222797123124j,0.25903309603119828+0.81231789013697631j
0.65017034172288901+0.11375810283675708j,0.86343977804872085+0.37592675162189282j,0.53720723868469378+0.38542777335334527j,0.10414856572292169+0.64190611688514110j,0.92975404627113134+0.77029573892947956j,0.73038260270027355+0.70061820212404435j,0.57146314884273575+0.25944791177896381j,0.23543524044193068+0.57961625851103082j,0.69901084081079734+0.074153166871061021j,0.41513289338270859+0.12540496124859021j,0.30998535656777859+0.34743515566549577j,0.38272900531625553+0.013883445495782796j,0.81545381961091012+0.19261907058424324j,0.37105101092687542+0.13446196933708471j,0.45358443099757406+0.10253632427919056j,0.86384133641911198+0.75600255246284120j,0.24543942923767045+0.34070856401707345j,0.065875465795125029+0.77295806570976611j,0.087132634784222382+0.43265876442938722j,0.36996729413383567+0.74876716576759050j
0.49044033777314544+0.98068053152311641j,0.027298321165310769+0.93844815984745023j,0.82584173427733776+0.58887129558904916j,0.66824018899370596+0.064397191383764610j,0.27089346061737418+0.91724631607808771j,0.57560467856302633+0.71816219112080670j,0.72417805462848928+0.43853176491111429j,0.52474499754762394+0.63646233086441428j,0.80292409902836426+0.30808870549664769j,0.34492814881675465+0.73609386131538779j,0.22840831867172667+0.31426304705085123j,0.48677103844263414+0.42355189519091940j,0.51302427826778096+0.58998061490633980j,0.098502436360673351+0.77385955759233749j,0.94090088595476529+0.16680057168847318j,0.85097208122379298+0.82428832494863502j,0.24129549251409052+0.35573577286560981j,0.30032177014618605+0.95776599944108431j,0.22350093815362956+0.13242643245321056j,0.38156022430985115+0.50178839715757018j
