c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
1.77734375e-01-6.06429279e-02j,5.80194473e-01+7.75609493e-01j,-6.52871370e-01+2.52734780e-01j,-1.63244367e+00+9.34633732e-01j,-1.15567648e+00-4.87864316e-02j,-1.15868092e-01-4.84928608e-01j,-1.10187674e+00-2.77513742e-01j,-6.47113562e-01+1.64699590e+00j,1.70668125e-01+7.70695686e-01j,-1.01416314e+00+7.29498863e-02j,-6.00776434e-01+1.22008801e-01j,4.05921459e-01+5.18617392e-01j,-5.74645996e-02+1.46173358e+00j,4.81760979e-01-1.79832113e+00j,-1.05624175e+00+1.07400954e+00j,-4.57809448e-01-1.26388907e+00j,-8.15556765e-01+1.30202293e-01j,4.96315956e-03+6.99954987e-01j,4.85705614e-01+1.12368882e+00j,-3.74468684e-01+1.73434258e+00j,1.23557103e+00-2.16109455e-02j,1.39011502e+00+3.39030981e-01j,-6.60879612e-02-1.68074131e-01j,4.48505163e-01+1.67980313e+00j,-1.01077962e+00-1.56265497e+00j
-5.97618461e-01-9.47434425e-01j,1.94476843e+00-5.45606613e-01j,-1.47992730e+00-2.21714258e-01j,-1.83598137e+00-4.07264471e-01j,3.13354731e-02+1.07579458e+00j,-5.48040390e-01-3.00230533e-01j,-1.45489407e+00-3.10593128e-01j,2.96592712e-03+3.36023450e-01j,2.23350763e-01+7.44836330e-01j,-1.75880659e+00-4.94179428e-02j,-5.86452484e-02-5.32848120e-01j,-1.41774821e+00+8.07866812e-01j,-1.34319234e+00+2.18490124e-01j,-6.17390156e-01-1.58351660e-01j,-9.77081060e-01-5.80339909e-01j,-1.26260281e-01+2.31756926e-01j,5.10133386e-01+4.73108292e-01j,2.99400091e-01-8.16466570e-01j,-5.14585257e-01-9.50715303e-01j,-1.20750093e+00+5.74067354e-01j,-1.63920879e-01-3.60760927e-01j,-6.57989025e-01-1.88933253e+00j,4.01933193e-01+9.59331512e-01j,-4.95127439e-01+2.64395237e-01j,4.35773373e-01-4.37705308e-01j
1.19601643e+00+1.17203915e+00j,-5.66831112e-01-6.80428267e-01j,-1.33133900e+00+1.16001642e+00j,6.71300173e-01-2.92172223e-01j,-8.02550554e-01+4.77883816e-01j,5.16009569e-01+1.24578130e+00j,5.70771337e-01+6.55028820e-01j,-4.67625856e-01+1.28773916e+00j,5.26982069e-01-1.58894372e+00j,2.03948498e-01+9.19388771e-01j,1.32437944e-02+9.46806908e-01j,-1.28351378e+00+3.79713297e-01j,2.06670761e-02-1.62125564e+00j,-9.34414864e-02+1.61029816e-01j,8.48451376e-01+5.66391706e-01j,7.14561701e-01+6.56980515e-01j,-1.81411004e+00+7.20977783e-03j,8.99849892e-01+1.35719419e+00j,-4.35310125e-01+2.71660447e-01j,-1.02634656e+00+9.01670933e-01j,-4.38747406e-02-2.37879515e-01j,2.22137213e-01+9.21400547e-01j,1.49517536e-01-1.00207710e+00j,4.20825005e-01-1.46603823e-01j,4.19712186e-01-3.29197407e-01j
-9.89953279e-01-3.17451000e-01j,-1.45673722e-01+1.25802445e+00j,5.52641153e-01-2.38536835e-01j,-1.05892241e+00+9.46602345e-01j,7.82046556e-01-6.57322109e-02j,-2.20237046e-01-1.43062496e+00j,5.70514202e-01+1.61382473e+00j,5.57951450e-01-5.65359592e-01j,3.60148907e-01-6.05879545e-01j,1.42066240e+00+8.90451670e-02j,-9.80133057e-01+7.04426050e-01j,-1.46853113e+00-2.44271755e-01j,3.60296607e-01-1.05214560e+00j,-1.54785514e+00-1.09111881e+00j,-1.72831059e-01+9.77806091e-01j,-7.28424072e-01-5.08496642e-01j,-4.74079132e-01-2.90149331e-01j,-6.65614367e-01-9.45466995e-01j,3.64267826e-03+6.79399371e-01j,1.61096358e+00+6.37887001e-01j,3.77552509e-01-1.62969351e-01j,-3.48745376e-01+1.71578193e+00j,1.21314251e+00-1.62522221e+00j,-8.27490568e-01+4.15649414e-01j,-9.36582565e-01+8.49804878e-02j
9.56842422e-01-1.39738798e-01j,-5.97372293e-01+8.54754448e-03j,-1.06460571e-01-5.97997904e-01j,1.40372038e-01+1.41550457e+00j,1.07826853e+00+1.58137822e+00j,-1.88824654e-01-1.14176548e+00j,6.16358042e-01-7.89816856e-01j,-3.29591960e-01+2.44122267e-01j,3.40907574e-02+1.14792681e+00j,1.20023441e+00-8.33685696e-02j,2.96127319e-01-1.12028849e+00j,-3.96945477e-02+3.38971853e-01j,4.28325415e-01+1.81444407e-01j,1.27725720e-01+1.17374933e+00j,-1.03391576e+00-4.35184479e-01j,-1.57212353e+00-8.59218359e-01j,-7.05991507e-01-6.06462002e-01j,1.20882964e+00+6.10889196e-02j,-4.59458709e-01-5.93578815e-02j,-8.52684498e-01-1.97584122e-01j,2.12390065e-01+4.55854297e-01j,1.17881203e+00-1.16394758e-01j,7.43305445e-01-5.42888641e-01j,-2.24270105e-01-5.80673218e-01j,-8.12819123e-01+7.32116461e-01j
-1.26267552e+00+1.97477603e+00j,2.00567007e-01-1.40030646e+00j,-6.63549900e-01-6.11533284e-01j,-1.06523991e-01-6.96536064e-01j,5.53335547e-01-1.32122040e-02j,6.41179085e-01-7.32669115e-01j,-3.23502719e-02-5.36214590e-01j,2.17058659e-01-9.98889685e-01j,1.06637764e+00-9.31702137e-01j,-2.06154346e-01+1.40090013e+00j,1.51028121e+00-5.41396141e-01j,-3.93633842e-02+1.82307160e+00j,1.72658086e-01-1.93637037e+00j,-5.54963589e-01+1.55303240e-01j,-3.38423252e-01-5.80490589e-01j,2.22306013e-01+3.25618505e-01j,-1.53867507e+00+1.57936513e+00j,-6.19252443e-01+8.21191788e-01j,-5.13505220e-01+1.08819044e+00j,1.11356831e+00+1.07491493e-01j,1.64183140e-01+6.78448677e-02j,-5.88614941e-01-8.78269374e-02j,3.01325321e-01-6.37535572e-01j,2.47399330e-01+1.72736979e+00j,4.76859093e-01+4.34110403e-01j
-1.05695295e+00-1.07108927e+00j,-9.92811918e-01+1.55807698e+00j,-3.12567949e-02-1.48029816e+00j,-1.26886177e+00-2.37247467e-01j,1.45250952e+00-5.57778358e-01j,-1.26779354e+00+1.79647684e-01j,1.54993474e+00-1.65646315e-01j,-9.60671663e-01-1.92249680e+00j,9.27567959e-01+2.54602432e-02j,1.78093004e+00-6.97903633e-01j,2.82097340e-01+9.28449631e-01j,5.73393345e-01-1.20585775e+00j,-3.29537868e-01+1.39161706e+00j,3.78751516e-01-1.35070014e+00j,7.39981174e-01-1.33019614e+00j,-9.14684534e-01+4.27857041e-01j,1.27842855e+00+3.85899544e-01j,-1.11708629e+00+1.63708365e+00j,1.54196405e+00+4.24358845e-01j,-7.10305691e-01-1.48418701e+00j,3.07001114e-01+3.51349115e-01j,-3.44409227e-01+1.50552762e+00j,-3.38273495e-01-1.01155949e+00j,-1.31616521e+00-1.05454922e-01j,-6.24467373e-01+9.66020107e-01j
-3.38232756e-01-2.38369942e-01j,-4.14922953e-01+1.05959463e+00j,1.79601490e+00+7.85611868e-01j,-1.19163406e+00-1.19682336e+00j,-2.26077080e-01-5.68290949e-02j,7.90129423e-01+3.23337197e-01j,7.93150187e-01-9.82597828e-01j,-3.94660950e-01-6.83912516e-01j,-7.74781823e-01+1.44210911e+00j,1.96175778e+00-1.95219755e-01j,1.68515980e+00-2.19401360e-01j,-1.62892103e-01+1.10819113e+00j,1.49839699e+00-3.82294297e-01j,-1.24686241e-01-2.39711761e-01j,-1.08877158e+00+9.29662228e-01j,-1.05518544e+00+9.49587822e-01j,1.35416043e+00-6.83598518e-02j,-1.01713955e+00+2.58528233e-01j,-9.39990997e-01-3.24697375e-01j,6.75787926e-01-2.26403952e-01j,-5.52578449e-01+1.94546223e-01j,-4.70132589e-01+6.23061419e-01j,-8.43910217e-01+1.27649248e+00j,1.06906343e+00-1.66320801e-03j,1.82628632e-04+2.47386217e-01j
-6.56539679e-01-2.14267612e-01j,9.55735207e-01+2.11220980e-01j,8.19053650e-02+1.61606443e+00j,7.80089378e-01+9.12555695e-01j,4.50298071e-01+3.14865112e-01j,-5.17781019e-01+1.13485646e+00j,-3.32810909e-01+5.23893595e-01j,8.99127960e-01+1.77024925e+00j,-9.96106386e-01+1.68076432e+00j,2.49252081e-01-9.64007854e-01j,-1.03754735e+00+2.23495960e-01j,1.04274559e+00+1.55386913e+00j,-9.15787935e-01+3.93321276e-01j,9.75077152e-01+5.33027411e-01j,-1.04382157e+00-5.42230606e-02j,5.12289286e-01-2.70180702e-01j,1.05555832e+00+3.03809166e-01j,-3.39935303e-01+1.34517300e+00j,-9.25058365e-01-1.83729863e+00j,-9.76813555e-01-4.78901356e-01j,-6.50948763e-01+8.68979216e-01j,9.61716652e-01-8.14298630e-01j,5.20644307e-01+9.29663181e-02j,3.77182484e-01+1.56884229e+00j,1.04198933e-01-1.02765405e+00j
8.12256932e-01+9.35194731e-01j,1.07174468e+00-4.03310329e-01j,1.29077911e-01-2.68036962e-01j,5.20201921e-02-8.94440889e-01j,-1.04032040e+00-1.55509710e-01j,-1.44190228e+00-2.18834400e-01j,-1.51175261e-01+1.34358501e+00j,-5.87471724e-02-1.12215674e+00j,-3.93924475e-01+2.70301104e-02j,-1.13478661e-01+1.01013923e+00j,-1.95426631e+00-9.51520443e-01j,1.21560133e+00-4.64751035e-01j,2.62455583e-01-3.51195097e-01j,2.58801103e-01-7.74256229e-01j,-1.85358524e-01-1.89451027e+00j,1.41377997e+00-1.48653984e-01j,-1.22523355e+00+1.10856295e-01j,1.01165092e+00+1.00824523e+00j,1.54449916e+00+7.81543255e-01j,-7.40327835e-01+1.10185850e+00j,-1.36107177e-01-5.65663099e-01j,4.23105240e-01-1.32762051e+00j,1.62521732e+00-2.47003317e-01j,3.40392828e-01-9.58238125e-01j,-1.81177783e+00+2.19452620e-01j
