c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
0.0666796369754947271+0.499741407051697894j,-0.255086236998750770+1.76637638227175819j,-0.538418521761529156+0.125715569446710251j,-1.018197622668638224-0.936120383274221978j,0.946369539824989391-0.482094645169083513j,0.144067449236494837+0.901756508684786961j,-1.321789044585110373+0.0323958402355546404j,-0.872870042103720322-0.218401797844169853j,-0.0250250207985507344-0.613471491324950601j,-0.758481933488960091-2.323935269050195095j,-0.623663487849476894+0.518673551775163721j,0.467295428361639508+1.64481492005720464j,0.582581681441252996-0.0489573018204856325j,0.892357425964350969-0.660212018116387966j,-1.379326440506962070-0.610756684611538425j,1.25931724738073480-1.552063700242625632j,0.900965129316457780+0.291072274636745120j,0.543814109501028930-0.616009074896934016j,-1.038999820740420743+1.09689735353669926j,0.757236215921617494-0.504520036226234092j,-0.866856940276832244-0.957352831752148691j,1.05818216546694388+0.115743597080506521j,0.424496265452756205-0.411886667129558681j,0.869479087066522549-0.162657811666384599j,-0.564889606561334023-2.226490855348889574j
-0.183180390986124486+1.36572607470989382j,1.24689820734148626-0.0362313585726869447j,-1.492449298434978421-0.302371443575981890j,0.966545101765600822+0.768471449909877701j,0.369253006012411510-0.00453867700582755162j,1.81538211014052874-2.503976642061982893j,-0.569549673694791813-1.059145039425849921j,-0.106187803653871259+0.874360868359921550j,2.11012308668727932+0.827977944665699627j,0.0208890272231547768-1.712059824930130425j,-0.346739921007722662-0.477364680130146545j,-0.391831996061709819-1.560908784702737861j,-0.00698637348083996911-0.896875679428103644j,0.672102841610849210-0.144411660393231944j,-0.828774958265085182+0.382034928735098144j,2.08786226411401898+1.90769559913128983j,0.0419828939104407439+0.970510695210712537j,-0.830192668207914596+0.172424040188255744j,1.20364386801588629-1.142966325465653465j,-1.479891127704047848-0.0662154493053988546j,-0.824599266504026040-1.459089377156916889j,-1.371179590723599961-1.225487401987413793j,0.575717130697311230+0.237785192700100456j,-1.948443505200841308+1.86517210783556830j,0.413119803345180613+0.301957331499613790j
1.26212043685956132-0.158474479826603786j,1.21712260247194548+0.885220724271495562j,0.600452346745153242+1.30760281912342035j,1.26087075386849312-1.885388719846695648j,-1.471283818470433102-1.258604657827594675j,0.869906080394056147+0.694118842706435312j,-0.532031831631857077+0.691133694597904746j,-0.629427931504964677-0.299655802441720631j,-1.089471757228066772-0.993565022850566581j,-0.0465990300108314325+0.227510172067515004j,0.0534067168082801302+0.00345465239875641927j,0.951564595137238011+1.76390058210582667j,-0.723624706846896614+2.21827478246614529j,0.319104516005086713+1.28531163756339661j,0.200256656451407888-0.0820776030959162739j,0.544823983574087566+0.595492756648039911j,0.00282159008738869232+0.898723947825760038j,1.03567879508841143+0.291480914927902734j,-0.354630102004651615-0.417985755444450823j,-0.128367552613006363-1.912445622290425806j,-0.725553882533324312+0.0184068945847548626j,-0.662112260349077885-1.750616491680219155j,-0.675245838566685741+0.880744806521691625j,0.123683332238848420-0.0863828725845312006j,-0.833831343261850932-1.017700792990889002j
-1.025783600296930941-0.487883734884266839j,0.0885645289317444905-0.427303014268892056j,-1.779005142960433882-0.519963503624644385j,-1.156307956174264628-0.172878630078011852j,0.0975435824477037805-1.414560880157012867j,0.282372547787328009-0.540381831472211526j,0.564552022603766578-1.618243343453240390j,-1.153330704678366513+0.322596753212026410j,-1.697372773197623807+0.199066203248174034j,-0.861198545943574700+0.492146181330279874j,0.393973458785441765-0.160743846866875317j,0.891778648625423553+0.114397372456161328j,-1.251657004014307350+0.193916846757254957j,0.778083827462824562+1.45091355141608913j,-1.235306901032823478-0.208440770729197699j,0.235178362107907990-0.843847092579586233j,-0.750639278519861896-0.333436552920280515j,1.51561659845868934-0.951562347767315630j,-0.612709544542004103+0.207865258818789033j,0.680143446108412819-0.173551745597227358j,-0.384998245036626940-0.967766403384125784j,0.234828432198932013+0.571886345190353306j,-0.435559007349665350-0.637802753808041078j,0.243837404868646467-0.478999227152642037j,0.0900413311308039254-0.170304037091451920j
-0.378958888140108474+0.339615017794409279j,-1.059730685018615670-0.871845055300635607j,0.0721731018310127758+0.966654576203428650j,1.35176887979836046-0.00265150058338647909j,0.836981571523019329-1.190357365527048516j,-1.192532577721992614+0.196331632401645528j,-1.778550138779337874+1.83550633444359689j,-0.695001238515558394-1.820315101605214813j,0.663062226765358975-0.475368902742098475j,1.20087928374984631+0.168233381955604777j,-0.274700085795256454+1.20512517747233749j,1.85301928980843833-0.0308542449826871845j,0.434937427968521195-1.312328255059151072j,-1.355201718486912731-1.662148812661679020j,-0.0107229262183521356-0.545331340913272510j,0.284084233333533831-0.703424981473430577j,-1.247838097675173063-2.591743128283414243j,0.542227336355247224+0.158765568628473463j,-1.601864589917700421+0.0408414651041477672j,-1.167142870211970606+0.379056591266012876j,-0.353356687834170291-0.864180288489593717j,-0.0916207948642649427-0.158039359061085349j,1.96933037148492018-0.350679737891899601j,1.95984231489134130-0.470896119729696083j,-0.805125619957028249-1.363968636406374557j
-1.380690060722945977+0.402779397494797297j,-0.0647383027257210641+0.123093091085388461j,0.363317053401116751-0.196803326830364166j,0.308561472793910329-0.794002508972871279j,0.0927568575896673408-1.518925051255443747j,-1.084416724357484484+1.05452191766089353j,0.0131077590766577323-0.402671091829913285j,-0.948522317147058480+1.03687654006857488j,0.261731477967087400+0.107133617674164849j,0.00263334393614833572-1.379706266442117801j,0.655679110640740692+0.108490997363677177j,-1.554125422368231479+1.33967001963032350j,-0.681898903793681565+0.754747844000644985j,0.405810342865936979-0.433296433570887540j,-0.382815145708014004+0.364110189795107785j,-0.222786222301342817+0.378536011312633924j,0.930031262269382263+0.104713397054296830j,0.789084957713126922+0.204586535393121771j,0.0232584523425551914+0.241618487693872729j,-0.799941458973657759-0.825927206484099674j,-0.493518870765858430-1.271437350228509677j,-0.559369563239135558-1.177655113219780336j,1.07933644239958659-0.175244610426402047j,2.10851700457196278+0.129490906375796521j,0.132847670601702771-0.889634014453666743j
1.88716994569228080-0.904434396122782313j,-2.079741929430918734-1.207182632577848968j,1.60908985797816761+0.830260130478142066j,0.595919373255403783+0.121042451618453839j,2.13118850501168832-0.783947165859126826j,-0.693944528692069573-0.164067100242575258j,-1.129565874400754399-0.702643876760087326j,1.37324631445284084+0.459572567366077322j,0.196272649839239754-0.723091565988274176j,-0.223452452561520686-0.739320332541445246j,-1.127490197697964546+0.0466919844068343081j,-0.721494241066262809-1.309604917800248014j,-0.632083802709759723-0.253113568672747479j,1.65055106174985222+1.15658088275668347j,-0.751551960014640751-0.499597863453462132j,-0.479010853784123780+0.365577557158696775j,-1.237530307001469154+0.185944304536300286j,1.99482779107339758+2.27632285375625853j,1.11910023732275165+0.942826465826637427j,2.22569743879379267+0.0484457827597588597j,-0.00103726934107983836+0.325942215521997979j,1.62001761174830738+1.49879306519088362j,0.576834966588077868+0.472339142759335750j,-1.035039149680327508-0.348351601795241716j,0.135543165151985611+1.33863605036589850j
-0.966807508073118437-1.119615514840613279j,-2.322749312156731527-0.0226150301327070479j,1.87001718429300867-1.427565047677153309j,-1.464731333415925540-1.492998395070834760j,0.705952041036507882-0.653969445202709387j,-0.168708217091747769-1.760542423642546649j,1.22713052355968499+0.0210803341082408390j,-0.795739001919181898-1.592134037687096270j,0.956540853605623464-0.722888695283578908j,-1.903551005499639625+0.0724875345646569524j,1.88911027564702438+0.785301103843396575j,-0.432515630215482449-1.089286478045093931j,1.59378960019189253+0.230149632593994901j,1.82878956924667157+0.444997210070986692j,0.0540460420744068859+1.75694431839913134j,0.473214605331574666+0.962176356569512503j,0.712724054037377818-0.0771142480854223322j,-0.745845998822204370-1.168641709878363021j,2.15099905613887809-0.0663890074284636533j,-1.075704896093772733-0.0545579702591982851j,0.844328551910779934+0.177201486221571169j,-0.377098567460379285+1.41145859517808425j,1.21437938242324405+0.621128061252873564j,-0.112499617163162035-0.0770611389538125024j,0.332877247765159811+0.662421146084456902j
-1.599384898698618329+1.16973943655745116j,0.132834349261007123+1.01868518236477356j,0.378153990056459221-0.464208343330431816j,0.449406276407978033-1.460769908114075699j,-3.085802230881518504-0.0948633677621326665j,-0.251922826801552091-1.074687777249357045j,-1.126213441941953163+0.0170819471292187330j,-1.484186795755750853-1.001348638960455783j,-1.481601496663002892-0.436826976076837458j,-0.390834170410103265+0.490478639116176395j,-0.314499848397676862-1.459797282276100949j,-0.0996602957468148975+0.424096883762734355j,-0.175425420490946226-0.769698553754435188j,-1.147587750360815839+0.622813430586426797j,1.22797390230828407+1.07682811590628357j,-0.792081855964597902+0.301753915217275237j,-0.511067060027598607-0.343642275878040359j,-0.813788341498197898-1.115491709604404135j,0.187716502585109079+0.226196228634682583j,-0.868066249271329581+0.746566722615748190j,0.456512696593411870+0.448496847238902596j,1.09701613428682565-0.897821501929348286j,-1.133750248029016027+0.308729597945702316j,1.34333072877359227+0.170540708823065934j,0.615249623030158510-1.890340485084201826j
0.457826628479525599-0.215661379326588242j,-0.309526284835178966-0.467928886542783306j,-0.303583207039941349-2.223330936808965319j,-0.625002779531603547+0.154150817435891429j,-0.148031618018770405-0.112325900489327279j,-0.0372933321963300201+0.426044930578676428j,0.0302965775371371037-0.391621063878307307j,0.230430685494948495+0.266248184738122617j,-1.335931113247826207+1.05077749299992429j,-1.187092809604239906-1.012521198514989562j,1.09266357024964500+1.93120035347662888j,-1.140641675309530311+0.521757685268527282j,0.179850367982299808-1.286884024918610647j,-0.0571616301850568220-0.270631697961919659j,0.232663820847324398-0.497709617035109630j,1.10830860175482892+0.0368525442352805043j,-1.042170784242691716-0.829821431586792446j,-1.508885942984047767-0.804773589319435878j,-0.909577739456355782-0.676870533060380363j,-0.0654261900820820585+0.876513088158155984j,-0.382594280652942375-0.766779273901424307j,1.19597519685416453-0.931866816594885793j,-0.205674076677439698+0.741927248455494847j,2.51766347810333801+0.103708677578737695j,0.665288644633035941-0.352693852452185652j
