c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
0x3f092a62+0x3eb15580j,0x3f916cd6+0xbfcbd7ffj,0x3f98f7d5+0x3f92bcf8j,0x3f8f1a36+0x3f8c6ec9j,0x3fd822f7+0x3f49a8bcj,0xbf8b2702+0xbf22f0f0j,0xbfb48f6a+0xbfcc6f58j,0x3f670220+0xbf848c7aj,0x3d96f790+0x3d8bbfc0j,0x3c8ec180+0x3eefc818j,0xbe1968a0+0x3e870164j,0x3f49e560+0x3eb94664j,0xbe91baf0+0xbf8916a3j,0xbf8ba476+0x3e9b78d0j,0x3f285912+0xbeaea098j,0xbf240bb6+0x3f346c54j,0xbf3a0a80+0xbf9090bbj,0x3f66dfc0+0xbfdd5a2cj,0x3dd492c0+0xbd121940j,0x3fa105b7+0x3f8d2413j,0x3d770640+0x3f4e051cj,0xbf667ebc+0xbf014898j,0x3f60a5d8+0x3f3a9108j,0x3c84ef00+0x3f2558f0j,0xbed6c780+0x3f289af8j
0xbf902d6f+0x3e2ecfe0j,0x3d9c06a0+0xbeb68e1cj,0xbdb92910+0xbe286078j,0x3eca18a4+0xbe2d7a10j,0x3e0142b8+0x3e63e550j,0x3f80ec95+0x3e5de160j,0x3fe8eae3+0x3f9bbddaj,0xbf18dc98+0x3ec1f5b8j,0xbfac8c30+0xbf3c0e40j,0x3e15a840+0x3f9f545fj,0x3f972342+0xbefd995fj,0xbf37c46c+0xbf7cae20j,0x3f8f6c19+0x3f0866e0j,0x3ee879f8+0xbffa4562j,0xbe783b02+0x3f489db0j,0xbfc6aa0e+0x3f2ce1b0j,0x3d331180+0x3f7f7678j,0x3f5f4438+0xbff9f9eaj,0xbe88d890+0xbeb8ec00j,0x3fdcdd1d+0x3f8604d6j,0xbd7da180+0x3f3e1730j,0xbe922c28+0xbf0a2490j,0x3e13ba30+0x3f647e80j,0x3e956074+0x3f8e6992j,0xbefbdd58+0x3fdda99bj
0x3eb0c4b8+0xbec90a58j,0x3f3163a0+0xbe9c0144j,0xbf8a34f3+0xbf80990cj,0xbfe14a8c+0x3f8413edj,0xbf0eeaf4+0x3eec97a8j,0xbf1a6800+0xbf10ad86j,0xbe4ebe20+0xbfdc9d5aj,0xbe945b48+0xbf52fbecj,0x3de9f200+0xbf54e102j,0xbe6116b0+0x3e204f70j,0x3f4d0494+0x3e9d3648j,0x3e27d388+0xbe861c5cj,0x3f166948+0xbe904111j,0xbedfce58+0x3f9ac397j,0x3f6f85d8+0xbf3c7564j,0xbd39b980+0xbea56e14j,0x3f752510+0xbf2dd95cj,0xbf526428+0x3f57c940j,0x3fa0750d+0x3ec7b864j,0xbb74cc00+0xbf4bb1e0j,0xbed507e8+0xbf9bcd70j,0xbf97b4b5+0xbf3ffe28j,0x3fc1e42a+0xbdb53d10j,0x3fbb728f+0x3f03764aj,0x3f75ac00+0x3ef61940j
0x3f0703fa+0x3eeaf790j,0x3e0d0800+0xbeeb2ad0j,0xbf04f8f0+0xbe7aa310j,0xbef52f88+0xbdd6b700j,0x3f90e5e3+0x3fe56f30j,0xbf0814d8+0xbf1966f4j,0x3f24c9f4+0x3f164808j,0xbf07c76e+0xbff5d6a8j,0x3dc52440+0xbee10d50j,0x3e1ec850+0xbfb2bbecj,0xbd938680+0x3fe8e4e6j,0xbfaf03e4+0x3e30a988j,0xbfad2916+0xbf303408j,0x3e74d2d0+0xbda344e0j,0x3f8ce38a+0x3efd7de0j,0xbf83ba45+0xbf030c84j,0xbe8e58b0+0x3fbe0d0aj,0xbf8ccec8+0xbc2c6500j,0x3ecf7b44+0x3f88a99cj,0x3f61fa48+0x3efc7bb0j,0xbfeafb02+0x3fdb4324j,0x3e8052fc+0x3fa2064aj,0xbf502918+0x3f42af60j,0xbf69a14c+0xbf013250j,0x3de2b340+0xbf49f46cj
0x3f6905c0+0xbff4a846j,0x3f42515c+0xbe20e3d8j,0xbf74c580+0x3ea50660j,0xbf830690+0x3d8248a0j,0xbfb2b45b+0xbeaf6458j,0x3f89eaca+0xbbbc3640j,0x3f0f5814+0x3fca96f6j,0x3ebfd2d4+0xbfb46d60j,0xbed9f091+0xbee40cc1j,0xbf06c1e8+0x3fb3c7e7j,0xbf8651bd+0x3f953b5bj,0xbf544b3c+0x3fabd581j,0x3f69d558+0x3eb59d88j,0xbd7c1d80+0xbea726a8j,0x3f8d9692+0xbdff6b00j,0xbe64378e+0xbed795a4j,0x3fb6b7c7+0xbfbbf96aj,0xbb967c00+0xbfa294baj,0x3ebff518+0x3fa8acb7j,0xbe677bc0+0xbcb57c00j,0xbf9fb66a+0xbda1c7c4j,0x3f97813c+0xbf9a1b3aj,0xbf8661db+0x3fa6edc3j,0xbea07228+0x3eca9ba0j,0x3f1056fc+0x3e3a8040j
0x3feeeb26+0xbfcd2563j,0x3e9f7980+0xbde60cf0j,0xbe92a4f8+0x3f753f10j,0x3f22f0dc+0x3ffbf23bj,0xbfef262d+0xbe0cdd88j,0xbf5553ec+0xbca11800j,0x3fa7ef20+0xbf3c9212j,0x3f55f004+0xbf2f3ddcj,0x3f821231+0xbfc6d807j,0x3f3249c2+0xbf4dd210j,0x3e341010+0xbcb8db80j,0xbfa9119a+0xbe8f4280j,0xbf25fbc8+0xbeeaae80j,0x3f64f9c0+0x3f918bbfj,0x3f0fb78c+0x3e8ed800j,0x3f10d268+0xbfcba532j,0x3f18c2bc+0x3f1b5bf0j,0x3fa55333+0x3f57ecb0j,0xbedd2d10+0xbf905684j,0x3d84edb0+0xbf5ab2c8j,0xbff09d1b+0x3e8dba4cj,0x3e89e0b4+0xbf961526j,0x3e92c8fc+0x3f09869cj,0xbfa89084+0x3f9aad23j,0xbfabd5cb+0x3ec9a3acj
0xbda75c40+0xbff3026ej,0xbf92ff82+0x3fa30bacj,0xbec6d9e0+0xbc85cd80j,0xbfa1de6a+0xbf11d128j,0x3da07cc0+0xbf00a5c2j,0x3cc10680+0x3dcd9480j,0x3d035600+0x3f09e674j,0xbf57c5c8+0xbec69610j,0xbf3ab9a0+0xbf840423j,0xbd4d43f8+0xbef22528j,0xbf5f10fc+0x3ebd0b24j,0xbf91b241+0xbfabfe66j,0x3ea98d68+0x3fe974cdj,0xbe550f00+0x3e824000j,0xbf476048+0x3f559214j,0x3f995e43+0x3f32ad50j,0x3dacb500+0x3f3e6800j,0xbe1565a0+0x3e8c9d30j,0x3fdb155a+0xbf664b80j,0x3dc2c5a0+0x3eecd3c8j,0x3fd55d4d+0xbe94ef70j,0x3f9ca5e9+0x3d945c40j,0xbe873660+0xbfbaddd3j,0xbda73f20+0xbd8d7ec4j,0x3faba015+0xbfbb3afej
0xbfba1480+0xbf9d05d1j,0xbec79858+0xbd5e5700j,0xbf69ce2c+0xbebe9a98j,0x3f6f6af8+0xbf27080ej,0xbf89955b+0xbfbcc374j,0xbf412540+0xbe7652e0j,0x3f33bcdc+0x3ebb0480j,0x3fbb4db8+0x3ecdbb98j,0x3fbcb779+0xbf4080e4j,0xbf37c4f8+0x3f3a6a24j,0x3f8cb476+0xbf4c4bacj,0xbf366c32+0x3f9a7504j,0xbfb3fbd0+0xbf0e6688j,0xbf5981f4+0xbe2420d0j,0xbfb8c31f+0xbf85f7cbj,0xbf499558+0x3f34aa68j,0xbf92be7c+0x3f401894j,0xbf76e5e4+0xbfafa5d4j,0x3f176c20+0x3ea00790j,0xbe328e1e+0xbf11f5b8j,0x3ed03150+0xbe9049a7j,0x3f6fb258+0x3f9fbe9aj,0x3d3b2180+0x3d86e9f0j,0x3f75e148+0xbe9b66b4j,0x3feaf18b+0xbf7c6398j
0xbe8534a1+0xbd9af200j,0xbe4ab390+0xbf3e6b84j,0xbff6b12d+0xbdd58d00j,0x3ef40e08+0xbfe875e5j,0x3f93aa79+0xbe8a5c5fj,0xbfd697b2+0x3fa9b92ej,0xbe03c360+0xbe3f5fc0j,0x3fdf9fb2+0xbe327bdej,0x3c4b1400+0xbffa6b49j,0xbe42a578+0x3ee31808j,0x3dc968c0+0xbec80920j,0xbe0a3180+0x3f6db2b8j,0xbddc607c+0x3f6814e0j,0x3e50bcc0+0xbf1fb124j,0xbf95993e+0xbf3b7b44j,0xbf2b2b80+0x3f29df30j,0x3fc3c21f+0xbddea660j,0x3f4f5f24+0x3f1fe938j,0x3e7978f8+0xbeeb6230j,0x3f3cac3c+0x3f8f9fefj,0x3f3995a0+0x3f196610j,0x3d13f340+0xbf6e2c48j,0xbf2559aa+0xbf818034j,0xbf8a283c+0xbfe4637bj,0x3f4e4438+0x3fbe3789j
0x3f884fbc+0xbf9f694cj,0x3eb87cb0+0xbeb02230j,0xbf944978+0xbf4df700j,0x3e75b330+0xbf3e2ee0j,0xbf371ca0+0x3dfb7c60j,0x3ed1c208+0x3effc19cj,0xbfa4eaa9+0x3e075100j,0x3fe477e2+0xbfa9c232j,0x3fe008dd+0xbf94a865j,0x3da0ce60+0x3f205950j,0x3fc8ff50+0x3f12990cj,0xbf4303ec+0x3f0cbb50j,0x3fce6640+0xbf8475d6j,0xbf005970+0xbfb38fe7j,0x3d90b740+0x3f47404cj,0x3f9bdb21+0xbf93c6a7j,0xbf2f45b4+0xbe878111j,0x3fcc02e6+0x3ff78b7dj,0x3edd8698+0x3fe7901cj,0x3e0c14c0+0x3c98fb00j,0xbf3ce2c8+0xbe9e60f0j,0xbd41bac0+0x3d010cc0j,0xbf3a9bdc+0xbcf87b70j,0xbdf1d7a0+0x3fb0d52cj,0xbfdcaf52+0x3e4e01d0j
