k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;k11;k12;k13;k14;k15;k16;k17;k18;k19;k20;k21;k22;k23;k24;k25
A78C0601;27770601;1939A01;FFFFFFFF22849A01;FFFFFFFF8E230601;FFFFFFFFC3258801;FFFFFFFFC2DEAFC1;6401AA01;71287401;26C85C01;FFFFFFFFCE403001;4A356001;FFFFFFFFB6919801;FFFFFFFF209C7701;39D7B401;FFFFFFFF8908DA01;885BEB01;FFFFFFFF6D11BC01;2035DF01;FFFFFFFFE5602601;37DDCC01;FFFFFFFF991E1201;5F176E01;10E9B201;FFFFFFFF8378EE01
A472B601;69240001;FFFFFFFF86885601;FFFFFFFFDABD0D01;FFFFFFFF7FFD0601;609E8601;FFFFFFFFAC079A01;25785E01;8913F301;FFFFFFFFD73579C1;1CF9E201;FFFFFFFFBA0C6E01;FFFFFFFF2080D601;FFFFFFFF4CDD0901;6F350401;FFFFFFFFDAC6EA01;FFFFFFFF80C9F601;32AD601;1515DC01;FFFFFFFFD7825B01;5029D901;13623501;42773A01;39FE0A01;FFFFFFFF4867AC01
12761001;FFFFFFFF3EBABC01;27A8401;FFFFFFFFB6E23801;FFFFFFFF7B479501;FFFFFFFFE5CC4201;D53AE301;FFFFFFFFCB69DC01;C638301;FFFFFFFFD960DE01;FFFFFFFF31BFB401;4770D801;FFFFFFFFCD0D8E01;FFFFFFFFCF3A3E01;FFFFFFFFAB1AF801;FFFFFFFFAABAFA01;FFFFFFFF40291E01;84471001;FFFFFFFF36897501;FFFFFFFF59F00001;B2B9B101;19FB4D01;FFFFFFFF55E5A101;FFFFFFFF37053901;FFFFFFFF20E2F401
D77B4D01;FFFFFFFFD7AF7A41;FFFFFFFFC1AC7801;1C789401;87BA201;FFFFFFFFC99CA501;4ECC1A01;FFFFFFFFC2B12A01;F21B7201;FFFFFFFFFCEA7C01;FFFFFFFFDF957C01;FFFFFFFFDFAA2801;31F49801;11A6C601;FFFFFFFFCD720701;3E6C9401;46D58201;FFFFFFFFE2E5DE41;2D94BA01;FFFFFFFF522E4201;FFFFFFFF8F905801;1DF3F201;5D306001;DBB4201;3B303601
72106C01;FFFFFFFF47809201;FFFFFFFFBCF31801;402D2501;F09C3401;FFFFFFFFBD6C8E01;FFFFFFFF2ED65201;3EBF9201;FFFFFFFF3B7DA901;FFFFFFFFAC857601;5D1ED401;FFFFFFFFE5401E01;946C6101;2920B401;C8B7B501;7D8FB01;FFFFFFFFD022BC01;FFFFFFFF7E4E6E01;131A4A01;69C14501;2444001;F2EA4F01;FFFFFFFFFB111701;8B8A1801;71B6A001
14E9A701;FFFFFFFF9BD8FC01;169B4401;3B85E01;8AB22401;FFFFFFFF838B3401;FFFFFFFFF7EFF401;FFFFFFFFCD180A01;936B001;FFFFFFFFF419D601;CADCD401;FFFFFFFFB5D24001;6896F801;CF8DF901;3B864E01;2EAEAE01;2F6A4901;2A3A5501;50D5001;FFFFFFFF93236C01;4976AA01;594A9E01;F3DD6701;2A300E01;FFFFFFFF860A9A01
FFFFFFFFBEB41001;FFFFFFFFF778B001;4BE98601;CA167F01;47156801;8A490901;5655301;B8BFAD01;FFFFFFFF3E3E5401;FFFFFFFF4A6F0001;84452C01;E08F6701;FFFFFFFFF31A9201;1D601E01;FFFFFFFFD1B09201;FFFFFFFF99940401;49564C01;E0C6DD01;92FF0201;7ECD4C01;FFFFFFFFFBE76601;FFFFFFFFB0E17201;F7ED4401;FFFFFFFFF4D37FC1;FFFFFFFF8672CC01
67B89801;FFFFFFFFBCEC5201;FFFFFFFF78C5D601;FFFFFFFFB31D6E01;FFFFFFFFF624EE41;9D95C601;2CDE6201;FFFFFFFFCCEDCC01;FFFFFFFF06A5F201;FFFFFFFF696FBD01;211A4901;23015C01;FFFFFFFF4D774401;FFFFFFFF9F51B401;BFE61B01;FFFFFFFF9783BE01;FFFFFFFFE9DD1201;2721EB01;9CA24801;948F6C01;FFFFFFFFB6ECC001;1ECA6201;6EBAF401;5E756A01;2FBE5501
FFFFFFFF7D209501;BB551201;BC6ED601;31153A01;3B148F01;A0C8BB01;FFFFFFFFD7B36401;4ADE1E01;26776301;FFFFFFFFEE29F601;FFFFFFFF56920201;176B0E01;46B25E01;FFFFFFFF3941F501;FFFFFFFF3E269C01;2DA13801;A6122001;3C8FF801;FFFFFFFFB0A91201;723A601;FFFFFFFFE36CD201;15C4DC01;FFFFFFFFDB6F7C01;D94F8E01;1FD56E01
9BC48401;8FFB2101;8A99B01;FFFFFFFFD191F701;6C505001;FFFFFFFF2B61C601;8F5ED201;FFFFFFFFAA371E01;FFFFFFFFED64BBC1;4AD81401;2B4DAB01;FFFFFFFF043BD401;3390D901;A2E16801;FFFFFFFFB7ECBC01;FFFFFFFFDD3E2E01;FFFFFFFF976CD401;D1A6B201;1F30FE01;FFFFFFFFC30D0401;FFFFFFFFB213BB01;AB440E01;67492401;FFFFFFFF45FCFB01;3A9F8E01
