x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
6.9927718743614753E-001,5.1392367933108962E-001,5.5482829649020116E-001,3.7767431051578126E-001,4.7563957862060618E-001,2.2509548865869436E-001,8.4805592805368368E-001,3.7692696602958742E-001,6.2815099320971957E-001,4.7502380347671974E-001,8.9574727701885382E-001,8.3229371381223294E-001,7.5255278542963022E-001,7.2119666417209116E-001,8.5664312486288224E-002,1.7466952551478004E-001,1.3115405158516663E-001,2.8470161147398676E-001,1.8140045805789445E-001,1.8393272796379454E-002
7.2182042587303236E-002,9.0354098463476629E-001,5.4479747373041831E-001,1.8400442490371657E-001,2.1420942256590350E-001,4.2242529890786323E-001,8.4130325518118820E-001,1.2993426110800899E-001,5.5718653712461388E-002,2.3459962799258874E-001,8.1998431435723940E-001,7.0820163665205993E-001,7.1995409726914728E-001,9.0442513994692497E-001,3.7497361929749884E-001,9.9230614879448820E-001,6.4127404778650554E-001,7.5649826568660761E-001,3.5169099266349008E-001,2.6896423327827764E-002
8.5203032960303793E-001,9.8245786014428071E-001,3.9583646349892843E-001,2.4685352807051913E-001,7.3915336599016235E-001,2.5785540366438597E-001,1.7404270115943107E-001,7.6243738029486219E-001,4.3370405531713868E-002,8.1552067134494588E-001,1.9405109784302418E-001,6.0353556242795668E-002,7.5697486444509599E-001,3.7892137710392260E-001,5.5509737561609339E-002,7.0403827579843370E-001,8.2528102730814545E-001,6.8825993849993305E-001,2.9608004641104613E-001,5.4739336554353768E-001
1.4794870073704000E-001,1.5131929044711359E-001,7.1247087817640123E-002,1.8639597522265142E-001,4.6104490160421219E-001,2.4750234467801555E-001,3.1544587426488191E-002,6.7661796208122926E-001,6.4856725471476739E-001,1.5938632076039752E-001,9.9919049485176226E-001,7.6270659492819448E-001,9.3844129134319054E-001,5.8535694785199033E-001,8.1853627160917020E-001,5.1876640044857836E-001,3.4618668045190459E-001,8.3514644950043626E-001,4.4740457135689754E-001,2.0868047919955096E-001
5.0066768776474119E-002,5.1077140654230835E-001,5.9477964209218837E-001,2.8620015798463122E-001,3.6420834667873936E-001,9.7284753280320957E-001,6.3193267104880624E-001,3.8107941224786845E-001,8.2451974464774813E-001,7.8561271577006087E-001,5.9185743998171758E-001,7.6389913304309498E-001,7.6375011769996803E-001,5.2295140943064711E-001,4.8414358038092137E-001,1.1025436658953348E-002,1.5571963192716615E-002,5.2576082464757745E-001,2.9065457345249013E-001,7.1748578966888088E-001
4.0728839375987264E-001,4.0876984630964469E-001,9.1646907706738800E-001,7.9205774205033885E-001,2.4483209467061190E-001,6.0383328717473284E-001,3.4198211928293046E-002,2.1136289833385752E-001,7.2681551276674283E-001,6.9037984529616486E-002,3.2872800386598283E-001,6.4242793601302983E-001,7.4597867411011087E-001,8.8345383996775961E-001,8.0831794939330875E-002,7.0164388634251773E-001,9.6442115026330277E-001,9.8341097058259330E-001,6.2295859165092815E-001,5.6697647096263137E-001
7.5543769831406010E-002,6.8371570208847132E-001,1.6724458905672157E-001,4.2518727441361009E-001,5.5333426503157712E-001,6.4443016600634961E-001,7.4307549985191523E-001,1.2107483078323308E-001,9.6854295410502089E-001,2.5748519175045204E-001,9.5906367130596559E-001,1.7035890718945598E-001,7.9198759855653278E-001,3.8288055897916007E-001,5.4785657048588909E-001,7.5882065272878496E-001,2.5624943560976576E-001,7.9021263037252709E-001,2.8972539055471164E-001,8.8298335347957035E-001
4.4481194382953143E-001,4.4436307054518676E-002,5.4243119065959422E-001,6.4337141704120104E-001,7.9364306221700132E-001,3.2343323365404431E-001,8.8587433951874961E-001,9.9500874037655940E-001,9.6123081525071297E-001,9.0840955181736871E-001,4.5138016360221056E-001,1.4648161337288865E-001,3.4272437455671390E-001,9.1501717398709426E-001,6.0346851465051110E-001,5.1761871389932390E-001,2.1207824723173402E-001,8.6447822092131010E-001,7.7153070251462352E-001,6.2233794196449332E-001
5.4015553924870607E-001,8.5523805520275187E-001,1.9170824032984654E-001,3.4321602162595855E-001,6.6776613553991476E-002,1.7242877122780531E-001,7.6258256790205606E-002,5.5113005677519944E-001,2.1907170518352370E-001,1.2266548789412060E-001,6.7117664359976159E-001,5.7729654296776445E-001,3.0634158153041874E-001,8.9781530681731980E-001,1.2995257277319586E-001,7.9234696289034956E-001,1.1660193275248808E-001,3.6068947550775665E-001,5.8699609054935409E-001,8.7408819016883732E-001
7.4587349332833830E-001,2.1591533923186496E-001,1.7430276415112159E-001,2.3866131961634901E-001,7.9314122973801615E-001,2.0519196448908936E-001,6.5950481968834385E-001,1.9831987277473712E-001,1.0389444363816979E-002,5.8658252696483970E-001,4.0200324550749461E-001,3.5767845129718390E-001,2.4301989593388984E-001,9.3350558045691354E-002,5.2021443574606661E-002,6.1641716742676522E-001,8.2951444131728447E-001,8.3042960222182449E-001,9.3143660024372255E-001,2.5110178503377861E-001
9.5431446149792765E-001,6.7361878569125844E-002,4.2529344845094780E-001,5.6015165877197337E-001,4.2120763464022759E-001,5.4121205257392591E-001,8.3892811011005464E-001,2.9649422746245191E-001,7.0626674919979215E-001,7.2506219084853452E-001,7.9661975647913097E-001,8.3085166039987823E-001,5.5568046878689781E-001,3.7547012880209801E-001,5.2232920210714451E-001,8.0275700438504194E-001,7.7263304250026366E-001,3.2238083025550895E-001,8.6813682401162870E-002,1.2149793623356338E-001
5.5718260182091905E-001,2.0427143125006500E-001,4.2550879864406121E-001,8.4618856335339332E-001,3.6407095610444884E-001,9.5040911798587580E-001,5.3236547636383365E-002,8.0760297628410604E-001,4.0674681010352315E-001,9.2961118510782106E-002,6.4249549462092770E-001,4.9040530374480817E-001,7.6052707789689222E-001,5.2190699957408604E-001,3.7885268507640651E-001,3.0860190663075110E-001,4.4255855428868679E-001,9.8302956417086940E-001,4.4609808126386952E-001,4.2615164547361806E-001
2.5586024054704204E-001,6.5679828255802919E-001,9.2840774586175312E-001,1.6005973592636960E-001,4.7076724842899204E-001,2.3815856466231727E-001,6.6905366530155697E-001,2.4561050947610860E-001,1.8999120972550101E-002,9.8416997289957633E-002,9.2619055357118740E-001,4.9561057757907406E-001,1.9105684721834548E-001,2.3254973104536819E-001,4.8583987694996757E-002,9.8963987693161948E-001,2.0195729153527361E-001,2.4996465362934139E-001,4.1420248812400257E-001,6.0249120845075232E-001
9.5683465727183115E-001,7.1652624053169389E-001,1.5182045004551187E-001,2.8728472740352179E-001,5.6258789627811345E-001,5.0746310974208741E-001,6.6573049527923078E-001,3.5112031821404843E-001,5.4317461614023899E-002,9.4900123293749095E-001,2.7679429088137741E-001,2.9830147808213919E-001,8.2435959906809142E-001,5.5971496625606421E-001,6.5802884936912420E-001,8.7622379347636303E-001,6.0187578348416793E-001,1.3451511013963435E-001,5.0922597399177294E-001,8.7432015655432338E-001
5.4774546835495275E-001,4.7708887120361998E-001,3.6519514398723174E-001,2.1808454885016462E-001,8.2182487978372309E-001,1.1224671152465511E-001,6.8718752004715444E-001,9.4751671074839139E-001,9.4928735340452797E-001,6.9973403796432088E-001,9.7657851223329517E-001,7.7116552859035625E-001,8.2395535103799833E-001,6.3825885357893997E-001,4.0523576664041655E-001,2.5177860930617002E-001,3.6384451339337137E-001,3.2732031439534637E-001,2.2776371955867633E-001,1.4088083243689972E-001
1.6690432801231145E-001,8.6011379450078529E-001,2.3362776956444578E-001,7.8376887115666205E-001,4.5708497467088555E-001,2.2462741010511708E-001,3.8944261805276426E-001,1.6841840432750230E-001,7.7447891041203587E-002,4.0294236515187626E-001,9.1495153669774376E-001,9.0894220362421285E-001,8.5248989121133323E-001,2.0889500051554020E-002,1.8582141995188775E-001,5.2512862609509892E-001,6.5383327453202822E-001,5.8929079030161469E-001,8.3506487215892899E-001,2.8175577239563661E-002
1.8381663254667677E-001,2.2304113998939093E-001,1.9921190288523719E-001,7.0449130557559336E-001,2.9903974031022595E-001,4.7229737748637562E-001,5.7660107315102993E-001,6.9267685891945385E-001,5.1897597318187150E-001,6.3217252201152108E-001,8.4174892099045895E-001,2.4284679472538478E-001,4.4069783690353587E-001,4.1611886274539939E-001,6.5967676698813327E-001,7.6869236181436451E-001,2.0381674045902773E-001,9.0360485520512279E-001,1.8027225198370433E-001,5.5037427078085517E-002
5.5764861470094407E-001,8.3499336427749715E-001,4.2175735060562053E-001,2.3483832923753978E-001,3.7166117438636637E-001,5.0127881979974798E-001,8.5240516320543136E-001,8.3266203327862043E-001,4.0721360017226743E-001,5.0798036073256680E-001,9.2106881937517121E-002,3.7428361634449370E-001,8.1791193714482302E-001,5.8536564733650420E-001,6.7812477501137325E-001,9.8238232941482861E-001,4.4249910005015397E-001,3.8035580903768640E-001,6.6869433123572508E-001,2.6052563318269217E-001
3.2096197236411567E-001,5.2239325242276502E-001,9.9091795889102963E-001,9.6793514735739838E-001,3.6780761799944839E-001,3.2923012412365488E-001,2.0188944468302741E-001,7.0312864974417355E-001,5.1360830648648736E-001,4.4453974756685860E-001,5.6253111214150775E-001,2.3246647033824072E-001,3.7202638183824757E-002,9.9895521575174717E-001,9.3885396132365928E-001,7.0139986817677769E-001,8.9454537957736913E-001,4.3417930924577613E-001,1.1516247866154192E-002,6.8001727610894735E-001
3.6751854430841036E-001,8.4370049820958581E-001,5.9129890532251650E-002,3.4481447809805588E-001,7.2774156968017589E-001,6.7655235552552495E-001,1.4041223560228916E-001,8.5351327506295627E-001,2.0031792671746709E-001,2.1992262485130790E-001,6.8175461513415886E-002,5.5531137213179105E-001,7.7264714831253711E-001,4.0181858705104245E-001,4.9709226063119250E-001,6.2084362133019844E-001,2.4967106861157332E-001,8.3406073455473351E-001,6.6304635319809302E-001,2.0632039314938361E-001
8.6295518528259685E-001,4.7256769527134118E-001,1.0936207105208913E-001,6.4034018406128185E-002,1.6761846619079304E-001,8.7181979981468949E-001,3.7878388827509657E-001,2.4423564167694584E-001,3.5581011895270021E-001,1.6308834024821792E-001,2.6970096348066847E-001,4.7222421836995360E-001,4.3564412278577153E-001,6.6347054969286257E-001,3.8992533140985830E-001,5.2596180220448918E-001,6.8054711345885963E-002,1.8230122071486105E-001,3.6216055824591120E-001,2.1607473928777124E-001
