x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
3F046B3C,BF751034,3E9B7AB8,3ED634F0,3FFD7B8A,BF1B6906,3F19FE40,3C82CF00,BE4A2AF2,3F17E97C,3FD63926,BF382552,BE13DA32,BF264DA4,3E410370,BEE87C78,BF4884A8,BE951EB0,BFB637C4,BE80AE60,3F0DDBC0,BE38C180,BED1AF20,BFDDAF32,3DEE2B60
BE21AEC0,BF291EC4,3E3EE948,BD5F5A40,3F783168,3F8C03BC,3F9ECB07,BF005B40,3E023590,3F0B8480,BDA3CC00,3F9E4951,3FCF35D5,BF79D4B4,3F59267C,3D2DF700,3F2C6398,BE588B12,3F58B9D8,BF15818A,3EEACB28,3F350A54,BEDE0BF8,3FCE95D6,3F9CADA6
3F9E8BCB,3FB71411,BE716060,BEF0F2E0,3F2F6610,BF11F410,3DF5E680,BED63C88,BF2DD7E4,3EC792C0,BF02D564,3F46CAE0,BEC55DC0,BEC79988,BFB9FDF0,3E93F06C,3EA85810,BFA244E7,3D83CB40,3F3AD9AE,BF390860,3E9DC540,3F9382AA,3F7D5C68,3F883531
BEFA9130,3F9A2D4F,3F6D65D8,3FC55BE7,3F2CD59E,BF5B16C0,3EF136B8,BFBFB746,BE909728,BF80BB76,3FA0B08C,BEFC52CC,BF0F3AF6,BF8C814F,BDA61760,BF400450,3F126F08,3FA3A4D0,BE710250,BF9BA048,BFA3EB0C,BE33C560,BE3F3190,3FF1120A,BF976D21
3E88A900,3F719184,BE86CD88,BE7FDCB0,3E6A03C8,BE8DFC90,3F9902D0,BF95D666,BFA39304,3E9C2F80,BD9BC600,3F124EC6,3F913CEE,3FAD58B6,3EE8F470,BEC0A998,BB1C7800,3F421710,3F95C1AE,3EE6C9E0,3E22CEB0,3F9CFA51,BE5896E0,3F8BF898,3F8C1B75
3FADA77B,3D51C780,3FE60917,3BFD1D00,3F0BE1D4,BE0164A0,BE59D840,3F598604,BFB756CB,BE1DAFE0,3E869040,BCC00E00,BF63D4AC,BEC5D0F8,3E025690,3F693088,3F8E8EB7,3E7E70B0,3EA42D20,3F2173B0,BF4BF4AC,3F2CF024,3F15388E,BFA18008,3F81AD62
BF37AAB0,3FF4A9FC,BF83378B,BD9BF860,3F988F7C,3D9897C0,BF3412E8,3DF99180,3F77E9AC,BFEE50E8,BF9F7347,3F5279CC,3E989448,BF86C6A9,3F6EAF88,3EA50CB8,3E87282C,BF52A1A8,BDE97380,3F9CFA08,3F0EE924,3F4A0374,3E83CF4C,BEC04CC8,3FC08F6D
BD5FB248,BF6CFC00,3FEA6346,BEAF0DD0,3E03D5C0,BE44EC82,BFBF725E,BF75FFCC,BF94CE7C,BC3AE420,3CFCA240,3EBF84F0,3F53B33C,3FD66679,3D822800,3F4BCF2C,BF84A662,BEC8E27C,3F1B13F4,3C919900,BEF30C58,3F015C78,BF6F72DC,3FAFB1BA,BFA25094
3EA9BC50,BF35063C,3C2BCE80,BE42B1BE,3E080220,3F9D7A62,3FB81A03,BF00392C,3EA8D128,BEB45AB8,BD1F18B8,3E7DA6D8,3ED68358,BFAAEF0C,3EE0B1E4,BF4A2888,BE9A36A0,3DB88120,BE7C6960,BF09C44C,3F11F1B0,3F65D3F0,BE674A60,BEE99BF7,3F873AE4
3CB38A00,BF362FDC,BFB7BEDE,BFA7D3EC,BF6CD768,3ED89B58,BF338FE0,BF83C292,3FA324C5,BEDA5600,BF3215E8,BF04C544,3D820320,BEFD9F79,3EF99A28,BEA662F1,BE9A240F,3FC8F9CE,BF6D3C1C,3ED1CCD0,3F401FD0,3E8B6C00,3F31662C,3E9BE5C0,BF374DDC
3FDD273C,BF953E6B,3EE2DC78,3D846800,3F3839FC,BE83C9C8,3F2D2CE8,3EE93378,3F3C16DC,BFD681AA,3F8C1C5E,3E33C510,BE39DCA2,BEC9D078,BF58E598,3E978DC4,3F0C5058,BEBD78D8,3E7D46C8,3F93A5E1,BF41E49C,3E911C88,3F1A45A0,3F85B10F,BDCF14E0
3EE54940,BE97D071,3F356438,3F21B028,BE382600,3F1FF3D4,BF8AFCD2,BF33E648,3EF9A2E8,BEC1E4B8,3F52AD90,BE700B02,BEE406FF,3F1C27B4,BFE4FBF6,3F1C2304,BE74DFE0,3F82EAD0,BE894840,BF192D10,BF77AA78,BF8012EB,3F1774A4,3F2811F0,BFC57CED
3E025210,BFA95532,BCF31C90,BF920C8C,BF74F554,3F30E196,BF171E00,3FB1AF59,BEE25AF8,B9B9F000,3D5A5580,BF3B8890,3E17BB30,3F2ED684,3EDE94E8,BE954140,3E115020,3FAA6F37,3F72C828,3EFE51D8,3E785D50,BFD9B2CD,BFDB3B7C,BF22D47E,3D9136E0
BE864330,BE757FA0,3F90E63C,BE0359C0,BFF4629A,3E7696E8,3F4A06DC,BFFCA2A0,BFA74980,BF087504,3E5A6160,BB94A800,3EA70300,BF846386,3F0419B0,BEAFF190,BF19BC04,BE81ACEF,BF3840B0,3E336378,BFF6EDBC,BED0EFD8,3E723990,3FB3319E,BE939048
